        Multiple Comparison of Means - Tukey HSD, FWER=0.05         
====================================================================
    group1         group2     meandiff p-adj   lower   upper  reject
--------------------------------------------------------------------
     Australia         Brazil   0.0099 0.0117  0.0011  0.0186   True
     Australia         Canada   0.0067 0.3211 -0.0019  0.0154  False
     Australia          China    0.043    0.0  0.0343  0.0517   True
     Australia          India   0.0096 0.0149  0.0009  0.0183   True
     Australia        Ireland  -0.0132    0.0 -0.0219 -0.0046   True
     Australia       Malaysia   -0.065    0.0 -0.0737 -0.0563   True
     Australia    New_Zealand   -0.016    0.0 -0.0247 -0.0073   True
     Australia        Nigeria  -0.0745    0.0 -0.0832 -0.0658   True
     Australia         Russia  -0.0054  0.687 -0.0141  0.0033  False
     Australia      Singapore   -0.031    0.0 -0.0397 -0.0223   True
     Australia United_Kingdom   0.0759    0.0  0.0672  0.0846   True
     Australia  United_States     0.02    0.0  0.0114  0.0287   True
        Brazil         Canada  -0.0031 0.9922 -0.0116  0.0053  False
        Brazil          China   0.0331    0.0  0.0247  0.0416   True
        Brazil          India  -0.0003    1.0 -0.0087  0.0082  False
        Brazil        Ireland  -0.0231    0.0 -0.0316 -0.0146   True
        Brazil       Malaysia  -0.0748    0.0 -0.0833 -0.0664   True
        Brazil    New_Zealand  -0.0259    0.0 -0.0344 -0.0174   True
        Brazil        Nigeria  -0.0843    0.0 -0.0928 -0.0759   True
        Brazil         Russia  -0.0153    0.0 -0.0237 -0.0068   True
        Brazil      Singapore  -0.0408    0.0 -0.0493 -0.0324   True
        Brazil United_Kingdom   0.0661    0.0  0.0576  0.0745   True
        Brazil  United_States   0.0102 0.0045  0.0017  0.0186   True
        Canada          China   0.0363    0.0  0.0279  0.0446   True
        Canada          India   0.0029 0.9961 -0.0055  0.0112  False
        Canada        Ireland    -0.02    0.0 -0.0284 -0.0116   True
        Canada       Malaysia  -0.0717    0.0 -0.0801 -0.0633   True
        Canada    New_Zealand  -0.0228    0.0 -0.0312 -0.0143   True
        Canada        Nigeria  -0.0812    0.0 -0.0896 -0.0728   True
        Canada         Russia  -0.0122 0.0001 -0.0205 -0.0038   True
        Canada      Singapore  -0.0377    0.0 -0.0461 -0.0293   True
        Canada United_Kingdom   0.0692    0.0  0.0608  0.0776   True
        Canada  United_States   0.0133    0.0  0.0049  0.0217   True
         China          India  -0.0334    0.0 -0.0418  -0.025   True
         China        Ireland  -0.0562    0.0 -0.0646 -0.0479   True
         China       Malaysia   -0.108    0.0 -0.1164 -0.0996   True
         China    New_Zealand   -0.059    0.0 -0.0674 -0.0506   True
         China        Nigeria  -0.1175    0.0 -0.1259 -0.1091   True
         China         Russia  -0.0484    0.0 -0.0568   -0.04   True
         China      Singapore   -0.074    0.0 -0.0824 -0.0656   True
         China United_Kingdom   0.0329    0.0  0.0245  0.0413   True
         China  United_States   -0.023    0.0 -0.0314 -0.0146   True
         India        Ireland  -0.0228    0.0 -0.0312 -0.0145   True
         India       Malaysia  -0.0746    0.0  -0.083 -0.0662   True
         India    New_Zealand  -0.0256    0.0  -0.034 -0.0172   True
         India        Nigeria  -0.0841    0.0 -0.0925 -0.0757   True
         India         Russia   -0.015    0.0 -0.0234 -0.0066   True
         India      Singapore  -0.0406    0.0  -0.049 -0.0322   True
         India United_Kingdom   0.0663    0.0  0.0579  0.0747   True
         India  United_States   0.0104 0.0026   0.002  0.0188   True
       Ireland       Malaysia  -0.0517    0.0 -0.0602 -0.0433   True
       Ireland    New_Zealand  -0.0028 0.9972 -0.0112  0.0057  False
       Ireland        Nigeria  -0.0612    0.0 -0.0696 -0.0528   True
       Ireland         Russia   0.0078 0.0943 -0.0005  0.0162  False
       Ireland      Singapore  -0.0177    0.0 -0.0262 -0.0093   True
       Ireland United_Kingdom   0.0891    0.0  0.0807  0.0976   True
       Ireland  United_States   0.0333    0.0  0.0249  0.0417   True
      Malaysia    New_Zealand    0.049    0.0  0.0405  0.0574   True
      Malaysia        Nigeria  -0.0095 0.0123 -0.0179 -0.0011   True
      Malaysia         Russia   0.0596    0.0  0.0512   0.068   True
      Malaysia      Singapore    0.034    0.0  0.0256  0.0424   True
      Malaysia United_Kingdom   0.1409    0.0  0.1325  0.1493   True
      Malaysia  United_States    0.085    0.0  0.0766  0.0934   True
   New_Zealand        Nigeria  -0.0585    0.0 -0.0669   -0.05   True
   New_Zealand         Russia   0.0106 0.0021  0.0022   0.019   True
   New_Zealand      Singapore   -0.015    0.0 -0.0234 -0.0065   True
   New_Zealand United_Kingdom   0.0919    0.0  0.0835  0.1004   True
   New_Zealand  United_States    0.036    0.0  0.0276  0.0445   True
       Nigeria         Russia   0.0691    0.0  0.0607  0.0775   True
       Nigeria      Singapore   0.0435    0.0  0.0351  0.0519   True
       Nigeria United_Kingdom   0.1504    0.0   0.142  0.1588   True
       Nigeria  United_States   0.0945    0.0  0.0861  0.1029   True
        Russia      Singapore  -0.0256    0.0  -0.034 -0.0172   True
        Russia United_Kingdom   0.0813    0.0  0.0729  0.0897   True
        Russia  United_States   0.0254    0.0  0.0171  0.0338   True
     Singapore United_Kingdom   0.1069    0.0  0.0985  0.1153   True
     Singapore  United_States    0.051    0.0  0.0426  0.0594   True
United_Kingdom  United_States  -0.0559    0.0 -0.0643 -0.0475   True
--------------------------------------------------------------------
